"id","part_id","gripper_x","gripper_y","gripper_r","part_x","part_y","part_r","camera_view","created_at"
21,"1000000000674","-69.21544647216797","24.467178344726562","0.11811269819736481","21.70430564880371","-55.21852111816406","-0.07032925635576248",1,"2024-05-14 13:55:06.208218"
22,"1000000000675","-69.41761016845703","14.81611156463623","-6.310205459594727","22.296524047851562","-49.59408950805664","-0.4636455774307251",2,"2024-05-14 13:55:10.193953"
23,"1000000000676","-69.2177734375","24.470624923706055","0.11311844736337662","21.693559646606445","-55.20370864868164","-0.08730284869670868",1,"2024-05-14 13:56:07.422291"
24,"1000000000677","-69.42906188964844","14.815545082092285","-6.302515506744385","22.281824111938477","-49.603519439697266","-0.45163366198539734",2,"2024-05-14 13:56:11.39339"
26,"1000000000682","-69.22091674804688","24.45747184753418","0.12521080672740936","21.692703247070312","-55.22957229614258","-0.07076746970415115",1,"2024-05-14 13:58:09.832045"
27,"1000000000683","-70.56494140625","14.637778282165527","2.5133330821990967","22.309200286865234","-49.58231735229492","-0.4701175093650818",2,"2024-05-14 13:58:13.810534"
28,"1000000000684","-69.2132797241211","24.46764373779297","0.11176560074090958","21.708744049072266","-55.206783294677734","-0.012778250500559807",1,"2024-05-14 13:59:11.043845"
29,"1000000000685","-69.35150909423828","14.801223754882812","-6.698836803436279","22.26393699645996","-49.64146423339844","-0.4339345693588257",2,"2024-05-14 13:59:15.016921"
30,"1000000000686","-69.2220230102539","24.460311889648438","0.12375447899103165","21.696758270263672","-55.175559997558594","0.030238738283514977",1,"2024-05-14 14:00:12.254467"
31,"1000000000687","-69.33135223388672","14.79511547088623","-6.926257610321045","22.197919845581055","-49.694217681884766","-0.3317158818244934",2,"2024-05-14 14:00:16.237285"
32,"1000000000688","-69.21897888183594","24.461700439453125","0.1267000436782837","21.699668884277344","-55.18016815185547","-0.008387128822505474",1,"2024-05-14 14:01:13.46475"
33,"1000000000689","-69.2430191040039","14.785609245300293","-7.511903762817383","22.20965003967285","-49.67934036254883","-0.38081756234169006",2,"2024-05-14 14:01:17.445848"
34,"1000000000747","-69.22914123535156","24.44243049621582","0.14198271930217743","21.683612823486328","-55.21603775024414","-0.07400315999984741",1,"2024-05-14 14:06:23.54304"
35,"1000000000748","-69.3495864868164","14.791015625","-6.791676998138428","22.24142837524414","-49.68026351928711","-0.4461015462875366",2,"2024-05-14 14:06:27.500396"
36,"1000000000749","-69.2196044921875","24.464086532592773","0.1084308847784996","21.700716018676758","-55.24361801147461","-0.16721761226654053",1,"2024-05-14 14:07:24.729578"
37,"1000000000750","-69.21294403076172","14.795949935913086","-7.549113750457764","22.380109786987305","-49.535316467285156","-0.6010556817054749",2,"2024-05-14 14:07:28.716768"
38,"1000000000751","-69.21812438964844","24.459144592285156","0.11876235902309418","21.698474884033203","-55.262508392333984","-0.12808111310005188",1,"2024-05-14 14:08:25.956857"
39,"1000000000752","-69.37255859375","14.789384841918945","-6.540712833404541","22.38909339904785","-49.53707504272461","-0.5786014795303345",2,"2024-05-14 14:08:29.913534"
40,"1000000000753","-69.2106704711914","24.464279174804688","0.10153871774673462","21.707136154174805","-55.252349853515625","-0.11144328862428665",1,"2024-05-14 14:09:27.148498"
41,"1000000000754","-69.32671356201172","14.794050216674805","-6.850192070007324","22.350107192993164","-49.5791015625","-0.5131784677505493",2,"2024-05-14 14:09:31.129441"
42,"1000000000755","-69.2195053100586","24.45271110534668","0.11510253697633743","21.70926856994629","-55.22400665283203","-0.09800766408443451",1,"2024-05-14 14:10:28.358554"
43,"1000000000756","-69.3495101928711","14.784770965576172","-6.765932559967041","22.298799514770508","-49.61916732788086","-0.4781144857406616",2,"2024-05-14 14:10:32.328187"
44,"1000000000757","-69.21217346191406","24.449169158935547","0.11553042382001877","21.705833435058594","-55.298831939697266","-0.1409909427165985",1,"2024-05-14 14:11:29.567938"
45,"1000000000758","-69.33856964111328","14.790396690368652","-6.811860084533691","22.410423278808594","-49.52883529663086","-0.6164220571517944",2,"2024-05-14 14:11:33.548718"
46,"1000000000759","-69.21908569335938","24.447965621948242","0.12162864953279495","21.709768295288086","-55.16094207763672","-0.013813378289341927",1,"2024-05-14 14:12:30.79138"
47,"1000000000760","-69.36400604248047","14.775745391845703","-6.65475606918335","22.179616928100586","-49.72536087036133","-0.36819887161254883",2,"2024-05-14 14:12:34.757064"
48,"1000000000761","-69.2206802368164","24.4526424407959","0.11577159911394119","21.710172653198242","-55.18172073364258","0.011500018648803234",1,"2024-05-14 14:13:31.996405"
49,"1000000000762","-69.33732604980469","14.793486595153809","-6.764186382293701","22.203237533569336","-49.721397399902344","-0.325467973947525",2,"2024-05-14 14:13:35.968342"
50,"1000000000763","-69.21900939941406","24.45087242126465","0.12445665150880814","21.707902908325195","-55.190364837646484","-0.03799061477184296",1,"2024-05-14 14:14:33.193645"
51,"1000000000764","-69.35746002197266","14.779899597167969","-6.673849582672119","22.213502883911133","-49.700592041015625","-0.34188565611839294",2,"2024-05-14 14:14:37.173507"
52,"1000000000765","-69.21745300292969","24.450387954711914","0.09860427677631378","21.715534210205078","-55.23386764526367","-0.07414781302213669",1,"2024-05-14 14:15:34.395981"
53,"1000000000766","-69.22207641601562","14.772906303405762","-7.526337623596191","22.292190551757812","-49.65081787109375","-0.4828720688819885",2,"2024-05-14 14:15:38.372699"
54,"1000000000767","-69.21784210205078","24.45271110534668","0.12252737581729889","21.718965530395508","-55.230262756347656","-0.04279172420501709",1,"2024-05-14 14:16:35.608342"
55,"1000000000768","-69.35076904296875","14.783902168273926","-6.797253608703613","22.270427703857422","-49.67527389526367","-0.47208282351493835",2,"2024-05-14 14:16:39.595394"
56,"1000000000769","-69.21853637695312","24.44865608215332","0.132000133395195","21.718475341796875","-55.192813873291016","0.019940027967095375",1,"2024-05-14 14:17:36.8101"
57,"1000000000770","-69.2276840209961","14.775075912475586","-7.505893230438232","22.205738067626953","-49.73125457763672","-0.39770495891571045",2,"2024-05-14 14:17:40.78967"
58,"1000000000771","-69.22119903564453","24.442028045654297","0.11600007861852646","21.72249412536621","-55.22172927856445","-0.021250002086162567",1,"2024-05-14 14:18:38.026267"
59,"1000000000772","-69.2684097290039","14.783729553222656","-7.265270709991455","22.255292892456055","-49.68019485473633","-0.4422873854637146",2,"2024-05-14 14:18:42.007457"
60,"1000000000773","-69.22381591796875","24.449237823486328","0.13051742315292358","21.709287643432617","-55.22080993652344","-0.032898757606744766",1,"2024-05-14 14:19:39.227687"
61,"1000000000774","-69.34906768798828","14.779589653015137","-6.7043046951293945","22.25063705444336","-49.67591857910156","-0.4573310613632202",2,"2024-05-14 14:19:43.214379"
62,"1000000000775","-69.22379302978516","24.444629669189453","0.12169282883405685","21.695114135742188","-55.23237991333008","-0.09052437543869019",1,"2024-05-14 14:20:40.43965"
63,"1000000000776","-69.2568359375","14.777691841125488","-7.3946533203125","22.279998779296875","-49.63880920410156","-0.5000266432762146",2,"2024-05-14 14:20:44.429453"
64,"1000000000777","-69.23036193847656","24.434444427490234","0.13454961776733398","21.6915340423584","-55.078582763671875","0.1379845291376114",1,"2024-05-14 14:21:41.6416"
65,"1000000000778","-69.33914184570312","14.772514343261719","-6.808277130126953","22.00212287902832","-49.89177703857422","-0.18798062205314636",2,"2024-05-14 14:21:45.615973"
66,"1000000000779","-69.21758270263672","24.458837509155273","0.12930847704410553","21.719385147094727","-55.24553680419922","-0.07171052694320679",1,"2024-05-14 14:22:42.843652"
67,"1000000000780","-69.34174346923828","14.79411792755127","-6.752249717712402","22.327383041381836","-49.62458419799805","-0.5496690273284912",2,"2024-05-14 14:22:46.828662"
68,"1000000000781","-69.21492004394531","24.460166931152344","0.12260057777166367","21.70906639099121","-55.266571044921875","-0.1523784101009369",1,"2024-05-14 14:23:44.052772"
69,"1000000000782","-69.3310317993164","14.779603958129883","-6.762048721313477","22.398998260498047","-49.5434455871582","-0.5957971215248108",2,"2024-05-14 14:23:48.03273"
70,"1000000000783","-69.22483825683594","24.435325622558594","0.12989696860313416","21.70168113708496","-55.28610610961914","-0.10396791994571686",1,"2024-05-14 14:24:45.255113"
71,"1000000000784","-69.22272491455078","14.77251148223877","-7.573426723480225","22.35369110107422","-49.593631744384766","-0.5137999057769775",2,"2024-05-14 14:24:49.239186"
72,"1000000000785","-69.22492218017578","24.4346981048584","0.12559258937835693","21.712434768676758","-55.226524353027344","-0.11031489074230194",1,"2024-05-14 14:25:46.464964"
73,"1000000000786","-69.35315704345703","14.779778480529785","-6.754373073577881","22.28415298461914","-49.645057678222656","-0.49220526218414307",2,"2024-05-14 14:25:50.44429"
74,"1000000000787","-69.2154769897461","24.460582733154297","0.12404830753803253","21.709278106689453","-55.23774719238281","-0.115840382874012",1,"2024-05-14 14:26:47.678251"
75,"1000000000788","-70.64070892333984","14.628666877746582","2.98744535446167","22.342113494873047","-49.59186553955078","-0.4944928288459778",2,"2024-05-14 14:26:51.660585"
76,"1000000000789","-69.21897888183594","24.448556900024414","0.1310102939605713","21.707435607910156","-55.28367614746094","-0.16466514766216278",1,"2024-05-14 14:27:48.885167"
77,"1000000000790","-70.5549087524414","14.61357593536377","2.488738536834717","22.401046752929688","-49.541847229003906","-0.6278567314147949",2,"2024-05-14 14:27:52.861945"
78,"1000000000791","-69.2179946899414","24.44617462158203","0.13185730576515198","21.728824615478516","-55.28407287597656","-0.147189199924469",1,"2024-05-14 14:28:50.091703"
79,"1000000000792","-69.23423767089844","14.77112102508545","-7.40255069732666","22.366025924682617","-49.612735748291016","-0.5176746845245361",2,"2024-05-14 14:28:54.066043"
80,"1000000000793","-69.2159423828125","24.44236183166504","0.12467142939567566","21.729713439941406","-55.24660873413086","-0.08947107940912247",1,"2024-05-14 14:29:51.292107"
81,"1000000000794","-70.67058563232422","14.632267951965332","3.069092273712158","22.3117733001709","-49.64497375488281","-0.5294561386108398",2,"2024-05-14 14:29:55.278961"
82,"1000000000795","-69.2162857055664","24.45071029663086","0.10905703157186508","21.712299346923828","-55.274112701416016","-0.13421955704689026",1,"2024-05-14 14:30:52.500542"
83,"1000000000796","-69.25015258789062","14.768529891967773","-7.322403430938721","22.37262725830078","-49.575233459472656","-0.5125687122344971",2,"2024-05-14 14:30:56.483113"
84,"1000000000797","-69.21910095214844","24.44133949279785","0.11599896848201752","21.721078872680664","-55.19227600097656","-0.023501483723521233",1,"2024-05-14 14:31:53.710054"
85,"1000000000798","-69.34107971191406","14.765626907348633","-6.800534725189209","22.209829330444336","-49.73556137084961","-0.41510888934135437",2,"2024-05-14 14:31:57.686321"
86,"1000000000799","-69.21908569335938","24.439504623413086","0.12496351450681686","21.717432022094727","-55.20676803588867","0.018540870398283005",1,"2024-05-14 14:32:54.924856"
87,"1000000000800","-69.3493881225586","14.764006614685059","-6.802076816558838","22.196380615234375","-49.75263214111328","-0.4045405685901642",2,"2024-05-14 14:32:58.908568"
88,"1000000000801","-69.21672821044922","24.43941307067871","0.12392575293779373","21.719945907592773","-55.28305435180664","-0.11299127340316772",1,"2024-05-14 14:33:56.131847"
89,"1000000000802","-69.24417877197266","14.767928123474121","-7.359250545501709","22.361980438232422","-49.59596633911133","-0.5215896964073181",2,"2024-05-14 14:34:00.118202"
90,"1000000000803","-69.21807098388672","24.43855094909668","0.1258116215467453","21.730154037475586","-55.19043731689453","0.03211212903261185",1,"2024-05-14 14:34:57.333595"
91,"1000000000804","-69.22142791748047","14.760403633117676","-7.60368013381958","22.141569137573242","-49.82025146484375","-0.3112371265888214",2,"2024-05-14 14:35:01.308621"
92,"1000000000805","-69.22125244140625","24.438539505004883","0.12771447002887726","21.724498748779297","-55.2801399230957","-0.14956606924533844",1,"2024-05-14 14:35:58.536294"
93,"1000000000806","-69.36421203613281","14.7825927734375","-6.672521114349365","22.353023529052734","-49.61359405517578","-0.5327948927879333",2,"2024-05-14 14:36:02.524853"
94,"1000000000807","-69.21378326416016","24.45387840270996","0.11443005502223969","21.733150482177734","-55.230682373046875","-0.06361263990402222",1,"2024-05-14 14:36:59.750963"
95,"1000000000808","-69.28214263916016","14.766654968261719","-7.177978038787842","22.290576934814453","-49.6634407043457","-0.4879128038883209",2,"2024-05-14 14:37:03.726544"
96,"1000000000809","-69.21346282958984","24.42218589782715","0.0997602790594101","21.71765899658203","-55.313453674316406","-0.1904027760028839",1,"2024-05-14 14:38:00.966185"
97,"1000000000810","-69.2554702758789","14.766820907592773","-7.334749221801758","22.41920280456543","-49.534461975097656","-0.5865865349769592",2,"2024-05-14 14:38:04.94139"
98,"1000000000811","-69.2208480834961","24.418418884277344","0.10089236497879028","21.71856689453125","-55.17998123168945","0.044425468891859055",1,"2024-05-14 14:39:02.168878"
99,"1000000000812","-69.32018280029297","14.758423805236816","-6.972084045410156","22.120676040649414","-49.82265090942383","-0.313689261674881",2,"2024-05-14 14:39:06.147166"
100,"1000000000813","-69.21064758300781","24.461339950561523","0.10227111726999283","21.726573944091797","-55.1822395324707","0.041852667927742004",1,"2024-05-14 14:40:03.372635"
101,"1000000000814","-69.30370330810547","14.754582405090332","-7.031764984130859","22.19550895690918","-49.7589225769043","-0.3730860650539398",2,"2024-05-14 14:40:07.350015"
102,"1000000000815","-69.21837615966797","24.45264434814453","0.13263410329818726","21.730300903320312","-55.183998107910156","0.0056950426660478115",1,"2024-05-14 14:41:04.572254"
103,"1000000000816","-69.24378204345703","14.764031410217285","-7.366471767425537","22.177093505859375","-49.78461456298828","-0.3933819532394409",2,"2024-05-14 14:41:08.549715"
104,"1000000000817","-69.21770477294922","24.430665969848633","0.1042221263051033","21.733970642089844","-55.286216735839844","-0.15679995715618134",1,"2024-05-14 14:42:05.783584"
105,"1000000000818","-69.3257064819336","14.765490531921387","-6.8928608894348145","22.350753784179688","-49.63090515136719","-0.5290554761886597",2,"2024-05-14 14:42:09.770342"
106,"1000000000819","-69.21989440917969","24.427892684936523","0.10716220736503601","21.72211265563965","-55.167625427246094","0.06542111188173294",1,"2024-05-14 14:43:06.986798"
107,"1000000000820","-69.34819030761719","14.771276473999023","-6.84399938583374","22.086944580078125","-49.858760833740234","-0.24762769043445587",2,"2024-05-14 14:43:10.961197"
108,"1000000000821","-69.21151733398438","24.457563400268555","0.1049487367272377","21.737428665161133","-55.242523193359375","-0.07775977998971939",1,"2024-05-14 14:44:08.188791"
109,"1000000000822","-69.31329345703125","14.767903327941895","-6.959927082061768","22.31754493713379","-49.6535758972168","-0.526360034942627",2,"2024-05-14 14:44:12.168387"
110,"1000000000823","-69.2123794555664","24.423046112060547","0.1056591346859932","21.719871520996094","-55.3223762512207","-0.15049780905246735",1,"2024-05-14 14:45:09.417237"
111,"1000000000824","-69.26461029052734","14.763590812683105","-7.189689636230469","22.402664184570312","-49.576637268066406","-0.5845202803611755",2,"2024-05-14 14:45:13.381498"
112,"1000000000825","-69.21701049804688","24.433401107788086","0.1172020211815834","21.743457794189453","-55.24199295043945","-0.031642451882362366",1,"2024-05-14 14:46:10.623395"
113,"1000000000826","-69.26551055908203","14.75533390045166","-7.216805934906006","22.2764835357666","-49.709312438964844","-0.3689141273498535",2,"2024-05-14 14:46:14.60483"
114,"1000000000827","-69.20640563964844","24.455883026123047","0.13094165921211243","21.747413635253906","-55.23030471801758","-0.06356778740882874",1,"2024-05-14 14:47:11.817418"
115,"1000000000828","-69.24223327636719","14.754463195800781","-7.3438825607299805","22.26369285583496","-49.73398971557617","-0.4471656084060669",2,"2024-05-14 14:47:15.795164"
116,"1000000000829","-69.20636749267578","24.442102432250977","0.12313555926084518","21.726991653442383","-55.322044372558594","-0.16670431196689606",1,"2024-05-14 14:48:13.030631"
117,"1000000000830","-70.75603485107422","14.627750396728516","3.7320704460144043","22.421659469604492","-49.58582305908203","-0.5263112783432007",2,"2024-05-14 14:48:17.016587"
118,"1000000000831","-69.2037353515625","24.446285247802734","0.11903005838394165","21.7401180267334","-55.20896530151367","-0.006780859082937241",1,"2024-05-14 14:49:14.234571"
119,"1000000000832","-69.32035064697266","14.76642894744873","-6.882791996002197","22.23191261291504","-49.753517150878906","-0.4074706435203552",2,"2024-05-14 14:49:18.210871"
120,"1000000000833","-69.21075439453125","24.453290939331055","0.10757151991128922","21.736536026000977","-55.187137603759766","0.008736149407923222",1,"2024-05-14 14:50:15.441763"
121,"1000000000834","-69.31788635253906","14.761034965515137","-6.891005039215088","22.18866539001465","-49.78585433959961","-0.39994165301322937",2,"2024-05-14 14:50:19.428333"
122,"1000000000835","-69.20608520507812","24.44936752319336","0.11359638720750809","21.733524322509766","-55.23872756958008","0.03755206987261772",1,"2024-05-14 14:51:16.653412"
123,"1000000000836","-70.73329162597656","14.627846717834473","3.5208899974823","22.280473709106445","-49.6899528503418","-0.4464930593967438",2,"2024-05-14 14:51:20.629312"
